client_id,total_web_requests,unique_sessions,web_visit_count,demo_request_count,ai_assistant_request_count,promotional_event_count,contract_confirmation_count,proposal_download_count,high_intent_hits,web_error_count,avg_response_time_ms,first_web_event,last_web_event,top_page
CL10096,17,17,17,6,2,0,0,1,9,2,585.1,2025-01-22 00:03:32,2025-06-26 08:40:34,/schedule-demo
CL10097,7,7,7,2,1,0,0,0,3,0,595.9,2025-01-08 12:35:30,2025-04-25 03:25:33,/contact
CL10098,13,13,13,0,1,0,0,0,1,1,435.6,2025-01-04 06:09:01,2025-06-14 09:39:34,/services
CL10099,10,10,10,1,0,0,0,1,2,0,453.0,2025-01-22 14:01:01,2025-06-09 02:09:49,/services
CL10100,8,8,8,0,2,0,0,0,2,1,616.1,2025-01-18 20:58:07,2025-06-30 14:22:47,/
CL10101,7,7,7,0,0,1,0,0,1,0,473.0,2025-01-23 22:36:25,2025-05-13 04:41:44,/
CL10102,11,11,11,2,0,0,0,1,3,1,545.6,2025-02-05 22:21:10,2025-06-27 02:44:37,/services
CL10103,7,7,7,2,1,0,0,0,3,0,537.1,2025-01-24 11:37:57,2025-04-22 01:11:03,/schedule-demo
CL10104,9,9,9,0,1,0,0,0,1,0,417.8,2025-02-12 09:28:18,2025-06-21 14:50:20,/
CL10105,12,12,12,1,0,0,0,1,2,1,424.2,2025-01-04 14:36:57,2025-06-09 03:03:02,/pricing
CL10106,5,5,5,0,0,0,0,0,0,0,579.2,2025-01-29 12:18:23,2025-06-17 21:51:34,/
CL10107,6,6,6,1,0,0,0,0,1,1,367.0,2025-01-29 11:55:32,2025-05-20 09:14:37,/
CL10108,8,8,8,3,1,0,0,0,4,0,575.8,2025-01-11 11:14:18,2025-04-26 20:28:22,/schedule-demo
CL10109,12,12,12,2,2,1,3,0,8,1,530.8,2025-01-11 07:23:10,2025-05-31 18:12:56,/contract/confirm
CL10110,8,8,8,0,0,1,0,0,1,1,405.9,2025-01-07 00:47:18,2025-05-28 09:49:59,/case-studies
CL10111,9,9,9,1,1,0,0,0,2,1,560.8,2025-01-22 17:47:43,2025-06-20 14:58:02,/services
CL10112,13,13,13,3,0,0,0,0,3,1,463.5,2025-01-23 10:54:09,2025-05-14 06:03:48,/
CL10113,7,7,7,1,0,0,0,0,1,1,499.3,2025-01-13 17:43:09,2025-06-01 17:53:43,/
CL10114,12,12,12,1,2,1,0,0,4,0,441.4,2025-01-07 03:24:23,2025-06-30 21:38:09,/services
CL10115,10,10,10,2,0,0,0,0,2,0,564.5,2025-01-20 19:57:40,2025-06-23 23:02:00,/case-studies
CL10116,10,10,10,1,1,0,0,0,2,0,599.4,2025-01-05 17:16:50,2025-06-08 20:32:46,/contact
CL10117,9,9,9,1,1,0,0,0,2,0,368.7,2025-01-30 22:25:22,2025-05-30 16:11:36,/
CL10118,8,8,8,3,0,0,0,1,4,0,569.2,2025-01-04 18:46:59,2025-05-20 19:39:21,/schedule-demo
CL10119,4,4,4,0,0,0,0,0,0,0,477.2,2025-01-11 21:14:23,2025-05-30 12:18:07,/
CL10120,13,13,13,2,0,1,0,0,3,0,491.3,2025-01-04 09:51:37,2025-06-25 13:00:35,/
CL10121,13,13,13,0,0,0,0,0,0,1,466.4,2025-01-31 15:42:18,2025-06-26 14:35:06,/contact
CL10122,11,11,11,0,0,0,0,0,0,1,546.9,2025-01-02 19:46:33,2025-06-25 12:45:48,/
CL10123,5,5,5,0,1,0,0,0,1,1,616.8,2025-01-01 22:36:32,2025-06-12 10:47:07,/
CL10124,6,6,6,0,0,0,0,0,0,0,353.7,2025-03-13 07:38:49,2025-05-29 05:10:43,/
CL10125,9,9,9,0,0,2,0,0,2,0,501.9,2025-01-16 12:29:13,2025-06-23 00:04:23,/
CL10126,10,10,10,0,1,3,0,0,4,0,504.8,2025-01-12 04:56:18,2025-06-26 19:47:36,/
CL10127,9,9,9,5,0,0,0,0,5,1,513.3,2025-01-16 10:25:54,2025-05-31 19:53:24,/schedule-demo
CL10128,7,7,7,0,0,1,0,0,1,0,662.3,2025-01-06 09:11:33,2025-06-24 02:02:11,/
CL10129,9,9,9,0,2,0,0,0,2,0,418.6,2025-01-28 04:06:27,2025-05-29 17:32:58,/ai-assistant
CL10130,9,9,9,0,0,0,0,0,0,0,456.7,2025-01-19 10:39:16,2025-06-26 16:50:10,/
CL10131,11,11,11,2,1,0,0,0,3,1,564.5,2025-01-04 20:18:31,2025-06-14 07:45:33,/
CL10132,13,13,13,1,2,0,0,0,3,1,438.0,2025-01-10 04:19:49,2025-06-29 09:54:20,/
CL10133,16,16,16,3,0,0,0,0,3,1,579.4,2025-01-02 23:20:30,2025-06-15 16:01:55,/
CL10134,8,8,8,2,0,0,0,0,2,2,620.5,2025-01-21 07:48:37,2025-04-13 09:59:29,/contact
CL10135,11,11,11,0,2,1,0,0,3,0,445.6,2025-01-15 15:33:32,2025-06-20 14:57:48,/
CL10136,7,7,7,0,0,0,0,0,0,1,495.4,2025-01-04 09:41:11,2025-06-30 11:31:41,/
CL10137,13,13,13,0,0,0,0,0,0,1,421.1,2025-02-02 04:19:53,2025-06-13 09:26:57,/contact
CL10138,2,2,2,0,0,0,0,0,0,0,722.5,2025-03-10 10:17:34,2025-06-02 23:41:36,/contact
CL10139,12,12,12,0,0,1,0,0,1,1,400.8,2025-01-11 09:37:34,2025-06-22 13:18:10,/services
CL10140,7,7,7,0,1,0,0,0,1,2,653.3,2025-01-02 06:40:52,2025-05-19 14:56:11,/
CL10141,7,7,7,0,0,0,0,0,0,1,501.3,2025-02-19 03:34:45,2025-06-06 22:27:57,/services
CL10142,11,11,11,0,4,2,0,0,6,0,522.3,2025-01-03 07:20:43,2025-06-07 13:16:12,/ai-assistant
CL10143,13,13,13,3,1,0,0,0,4,2,512.2,2025-01-09 11:23:40,2025-05-17 23:08:22,/schedule-demo
CL10144,7,7,7,0,1,0,0,0,1,0,435.7,2025-01-12 21:18:04,2025-06-08 12:23:22,/
CL10145,13,13,13,1,2,0,0,0,3,0,458.5,2025-01-19 15:27:28,2025-06-29 18:13:31,/contact
CL10146,4,4,4,0,0,0,0,0,0,0,515.2,2025-02-14 14:12:10,2025-06-23 09:26:16,/services
CL10147,11,11,11,1,1,2,1,0,5,0,358.5,2025-01-07 18:44:17,2025-06-02 17:38:01,/services
CL10148,11,11,11,1,1,0,0,0,2,1,584.3,2025-01-08 12:22:44,2025-06-18 12:21:11,/
CL10149,8,8,8,3,0,0,0,0,3,0,525.9,2025-01-04 00:29:06,2025-05-28 20:25:19,/services
CL10150,10,10,10,1,0,0,0,0,1,2,433.5,2025-01-12 08:10:37,2025-05-26 08:22:28,/services
CL10151,8,8,8,3,0,0,0,0,3,2,722.9,2025-01-02 03:56:50,2025-06-02 11:58:51,/schedule-demo
CL10152,10,10,10,0,1,1,0,0,2,0,525.3,2025-03-06 12:31:53,2025-06-18 21:57:17,/
CL10153,11,11,11,3,0,0,0,0,3,1,572.6,2025-02-04 17:07:30,2025-06-29 04:14:04,/pricing
CL10154,2,2,2,0,0,0,0,0,0,0,435.0,2025-02-11 03:23:41,2025-03-10 00:35:32,/
CL10155,9,9,9,1,0,0,0,0,1,1,349.8,2025-01-07 06:21:53,2025-05-24 18:02:36,/services
CL10156,19,19,19,3,0,0,0,0,3,1,414.4,2025-01-12 03:58:54,2025-06-22 00:58:06,/contact
CL10157,5,5,5,1,1,0,0,0,2,0,641.2,2025-03-18 14:52:38,2025-05-10 15:48:18,/
CL10158,11,11,11,4,0,0,0,1,5,1,546.9,2025-01-08 06:47:51,2025-06-16 02:31:58,/schedule-demo
CL10159,12,12,12,0,2,0,0,0,2,2,590.2,2025-01-11 03:56:41,2025-06-17 09:33:32,/
CL10160,6,6,6,1,0,0,0,1,2,0,321.3,2025-01-31 18:38:33,2025-06-22 13:04:16,/services
CL10161,11,11,11,3,1,0,0,1,5,1,606.4,2025-01-04 19:54:15,2025-06-15 15:47:37,/schedule-demo
CL10162,15,15,15,0,1,0,0,0,1,1,426.0,2025-01-08 13:28:14,2025-06-26 03:16:03,/
CL10163,7,7,7,2,2,0,0,0,4,0,387.7,2025-01-14 01:04:56,2025-04-28 04:00:08,/ai-assistant
CL10164,11,11,11,0,1,0,0,0,1,0,401.2,2025-01-15 23:19:04,2025-06-27 15:02:13,/
CL10165,11,11,11,0,1,0,0,0,1,1,464.3,2025-01-05 04:36:18,2025-06-28 12:10:50,/services
CL10166,8,8,8,0,0,0,0,0,0,0,379.9,2025-01-02 18:42:13,2025-05-30 03:58:30,/
CL10167,9,9,9,2,1,1,2,0,6,0,433.2,2025-01-14 07:53:42,2025-06-28 01:38:20,/pricing
CL10168,13,13,13,2,1,0,0,0,3,0,485.8,2025-01-12 18:05:36,2025-06-27 15:33:57,/case-studies
CL10169,6,6,6,0,1,1,0,0,2,1,664.7,2025-02-05 00:18:32,2025-05-14 20:07:31,/
CL10170,12,12,12,2,2,0,0,0,4,1,492.5,2025-01-13 22:03:31,2025-06-16 19:48:28,/
CL10171,10,10,10,1,1,0,0,0,2,0,435.6,2025-01-21 09:12:57,2025-06-30 02:07:08,/services
CL10172,12,12,12,0,0,0,0,0,0,3,563.1,2025-01-01 21:37:24,2025-06-26 23:53:33,/
CL10173,5,5,5,1,1,1,0,0,3,0,529.8,2025-01-09 19:37:17,2025-03-02 03:40:19,/
CL10174,12,12,12,2,0,0,0,1,3,2,434.9,2025-01-06 17:24:13,2025-05-31 07:14:59,/
CL10175,8,8,8,2,2,0,0,0,4,0,498.2,2025-01-06 00:08:38,2025-06-26 21:57:06,/ai-assistant
CL10176,7,7,7,3,1,0,0,0,4,0,613.6,2025-01-12 05:51:06,2025-04-25 05:37:21,/schedule-demo
CL10177,11,11,11,2,3,0,3,1,9,0,482.3,2025-01-11 22:00:35,2025-06-27 05:56:17,/ai-assistant
CL10178,10,10,10,1,1,0,0,0,2,1,490.9,2025-01-01 15:21:57,2025-06-13 17:14:05,/
CL10179,10,10,10,0,0,0,0,0,0,0,456.5,2025-01-02 08:59:02,2025-05-21 03:13:15,/
CL10180,10,10,10,0,1,0,0,0,1,1,688.0,2025-02-11 05:20:03,2025-06-24 04:41:58,/pricing
CL10181,10,10,10,1,0,0,0,0,1,0,531.1,2025-01-28 11:31:02,2025-06-07 22:04:00,/services
CL10182,7,7,7,0,0,1,0,0,1,1,627.7,2025-01-02 21:32:37,2025-06-29 11:54:38,/case-studies
CL10183,7,7,7,1,1,0,0,0,2,0,561.0,2025-01-03 10:41:42,2025-06-23 09:21:57,/pricing
CL10184,7,7,7,0,0,0,0,2,2,1,421.7,2025-02-15 16:26:08,2025-06-26 05:49:32,/
CL10185,7,7,7,1,0,0,0,0,1,0,418.0,2025-01-06 08:44:52,2025-06-30 13:09:34,/services
CL10186,9,9,9,0,0,0,0,0,0,0,525.3,2025-01-17 11:41:17,2025-06-18 14:16:43,/contact
CL10187,17,17,17,0,3,0,0,0,3,0,479.4,2025-01-06 21:55:01,2025-06-25 23:27:49,/
CL10188,6,6,6,0,0,1,0,0,1,0,493.5,2025-01-27 02:30:24,2025-06-19 14:44:10,/
CL10189,10,10,10,0,2,0,0,0,2,0,510.7,2025-01-24 09:24:17,2025-06-20 06:21:40,/
CL10190,13,13,13,0,1,0,1,0,2,1,612.5,2025-01-10 15:54:40,2025-06-24 14:16:50,/
CL10191,11,11,11,1,2,0,3,0,6,1,451.1,2025-02-06 19:31:46,2025-06-30 15:31:26,/
CL10192,8,8,8,0,2,0,0,0,2,0,358.6,2025-01-23 22:59:17,2025-06-25 00:52:12,/
CL10193,4,4,4,0,0,0,0,0,0,1,445.0,2025-01-15 01:45:52,2025-05-30 22:49:52,/services
CL10194,13,13,13,1,0,0,0,0,1,0,501.8,2025-01-04 16:46:25,2025-06-26 23:53:36,/
CL10195,5,5,5,2,0,1,0,0,3,0,496.2,2025-01-20 08:57:53,2025-05-15 09:47:04,/case-studies
CL10196,8,8,8,0,2,0,0,0,2,1,726.5,2025-02-06 07:18:59,2025-06-16 10:38:44,/
CL10197,8,8,8,2,0,1,0,0,3,0,514.0,2025-01-08 09:44:17,2025-05-22 04:11:03,/
CL10198,9,9,9,0,0,0,0,0,0,0,466.7,2025-01-18 09:16:30,2025-06-20 06:28:50,/services
CL10199,7,7,7,0,1,0,0,0,1,1,555.6,2025-01-06 18:17:26,2025-04-30 05:40:54,/
CL10200,11,11,11,4,2,0,0,0,6,1,566.6,2025-01-22 00:54:29,2025-06-15 16:43:11,/schedule-demo
CL10201,8,8,8,0,2,1,0,0,3,0,485.6,2025-01-06 02:11:41,2025-06-10 06:44:55,/
CL10202,14,14,14,3,2,0,0,0,5,1,478.2,2025-01-30 03:46:53,2025-06-29 00:08:02,/
CL10203,12,12,12,2,1,0,0,0,3,1,383.0,2025-01-03 08:32:40,2025-06-23 19:13:19,/pricing
CL10204,7,7,7,2,0,0,0,0,2,0,433.3,2025-03-30 05:22:21,2025-06-29 14:17:42,/pricing
CL10205,10,10,10,0,1,0,0,0,1,0,585.8,2025-01-10 16:00:18,2025-06-15 04:47:41,/
CL10206,9,9,9,2,1,0,0,1,4,0,576.7,2025-01-21 08:09:29,2025-06-23 01:31:57,/schedule-demo
CL10207,5,5,5,2,1,0,0,0,3,0,545.2,2025-01-11 17:31:35,2025-06-05 03:26:58,/schedule-demo
CL10208,9,9,9,3,2,0,0,1,6,1,521.3,2025-01-09 02:03:38,2025-06-23 21:21:52,/schedule-demo
CL10209,7,7,7,3,1,0,0,0,4,0,392.3,2025-01-07 13:41:09,2025-06-15 11:47:46,/schedule-demo
CL10210,9,9,9,1,0,0,0,0,1,1,524.1,2025-01-03 18:33:02,2025-06-25 11:10:15,/pricing
CL10211,9,9,9,0,0,0,0,0,0,0,570.2,2025-02-09 00:25:38,2025-06-30 07:50:55,/
CL10212,11,11,11,4,2,0,0,0,6,0,559.3,2025-01-14 18:48:13,2025-04-26 02:27:54,/schedule-demo
CL10213,7,7,7,0,0,0,0,0,0,0,347.6,2025-01-31 01:42:29,2025-06-27 23:06:36,/services
CL10214,4,4,4,0,1,0,0,0,1,0,598.2,2025-01-14 10:18:42,2025-05-23 05:36:34,/contact
CL10215,12,12,12,2,2,1,0,0,5,0,439.2,2025-01-18 01:42:57,2025-06-07 00:25:50,/pricing
CL10216,7,7,7,0,1,0,0,0,1,1,593.0,2025-01-19 00:41:52,2025-06-27 17:13:26,/services
CL10217,11,11,11,2,1,1,0,0,4,0,597.6,2025-01-29 03:18:50,2025-06-02 06:41:03,/case-studies
CL10218,8,8,8,1,0,1,0,0,2,3,529.8,2025-02-23 14:18:06,2025-06-08 10:58:13,/
CL10219,8,8,8,2,1,0,0,0,3,1,439.2,2025-01-08 15:04:20,2025-06-29 11:07:44,/
CL10220,8,8,8,0,0,0,2,0,2,0,379.2,2025-01-05 10:18:00,2025-06-20 13:28:58,/pricing
CL10221,6,6,6,1,0,0,0,0,1,0,519.8,2025-01-11 09:10:01,2025-06-07 09:58:34,/
CL10222,10,10,10,1,4,0,0,0,5,0,463.3,2025-01-29 17:45:26,2025-06-30 08:06:36,/ai-assistant
CL10223,8,8,8,1,0,1,0,0,2,0,444.4,2025-01-12 09:03:50,2025-05-24 16:52:13,/
CL10224,12,12,12,2,1,0,0,0,3,1,491.7,2025-01-23 10:14:03,2025-06-15 17:43:19,/
CL10225,8,8,8,0,1,0,0,0,1,1,448.1,2025-01-04 12:41:57,2025-05-12 09:20:56,/
CL10226,7,7,7,3,1,0,0,0,4,0,438.3,2025-01-07 06:20:09,2025-06-27 07:20:33,/schedule-demo
CL10227,5,5,5,0,1,0,0,0,1,0,493.2,2025-01-20 19:16:07,2025-05-26 13:03:42,/case-studies
CL10228,7,7,7,3,0,0,0,0,3,0,366.9,2025-03-04 04:53:49,2025-06-28 04:13:48,/schedule-demo
CL10229,10,10,10,0,2,0,0,0,2,1,567.2,2025-01-18 09:33:27,2025-06-14 01:11:29,/
CL10230,7,7,7,1,1,0,0,1,3,0,637.1,2025-01-09 15:17:00,2025-05-17 22:22:32,/
CL10231,5,5,5,1,1,0,0,0,2,0,563.6,2025-01-26 17:08:10,2025-05-23 14:05:28,/services
CL10232,10,10,10,2,1,0,0,0,3,1,598.5,2025-01-12 11:02:19,2025-06-01 06:38:17,/pricing
CL10233,11,11,11,3,0,0,0,0,3,1,572.4,2025-01-29 20:36:42,2025-06-19 22:45:07,/case-studies
