client_id,session_id,c_ip,company_size,country,country_group,city,latitude,longitude,market_priority,market_saturation_index,industry,service_type,service_category,marketing_channel,campaign_name,sales_rep_id,sales_rep_name,sales_team,monthly_rep_target,inquiry_date,demo_date,proposal_date,close_date,current_stage,has_inquiry,has_demo,has_proposal,converted,lead_score,conversion_probability,actual_revenue,forecast_revenue,target_revenue,revenue_gap,sales_cycle_days,currency,inquiry_submit_count,total_web_events,lead_quality,total_page_views,unique_pages_visited,avg_web_response_ms,web_error_hits,intent_score,commercial_readiness_score,priority_band,total_web_requests,unique_sessions,web_visit_count,demo_request_count,ai_assistant_request_count,promotional_event_count,contract_confirmation_count,proposal_download_count,high_intent_hits,web_error_count,avg_response_time_ms,first_web_event,last_web_event,top_page
CL10036,SESS70036,53.63.55.181,Large,Kenya,Wider Africa,Nairobi,-1.2921,36.8219,High,0.58,Retail,Executive Cyber Training,Training,Industry Conference,Johannesburg FinTech Cyber Briefing,SR005,Amogelang,Regional Growth,410000,2025-02-13,2025-02-20,2025-02-24,2025-03-17,Contract Confirmed,1,1,1,1,67,0.4647,28494.54,10737.42,5082.88,23411.66,32.0,BWP,1,8,High,8,7,411.0,0,66,67,Sales Ready,4,4,4,0,0,1,1,0,2,0,604.5,2025-02-26 13:03:31,2025-06-19 07:41:08,/contract/confirm
CL10037,SESS70037,78.60.225.122,Medium,South Africa,SADC,Johannesburg,-26.2041,28.0473,High,0.64,Healthcare,Threat Detection Platform,Platform,LinkedIn Campaign,B2B Security Decision-Makers,SR001,Naledi,Botswana Core,420000,2025-01-31,2025-02-06,,,Demo Requested,1,1,0,0,68,0.2728,0.0,25116.45,20255.4,-20255.4,,BWP,1,7,High,7,6,531.1,1,52,61,Nurture,7,7,7,1,2,0,0,0,3,0,372.4,2025-02-24 13:47:44,2025-06-21 00:52:31,/ai-assistant
CL10038,SESS70038,172.190.184.137,Small,Nigeria,Wider Africa,Lagos,6.5244,3.3792,High,0.62,Legal Services,Cloud Security Analytics,Analytics,Referral,Partner Referral Programme,SR006,Boitumelo,Regional Growth,400000,2025-04-09,,,,Inquiry,1,0,0,0,73,0.4184,0.0,13656.29,7181.46,-7181.46,,BWP,1,6,High,6,6,358.7,0,52,64,Nurture,12,12,12,0,1,0,0,0,1,1,600.8,2025-01-27 04:16:17,2025-06-17 07:39:13,/case-studies
CL10039,SESS70039,189.139.212.32,Small,Eswatini,SADC,Mbabane,-26.3054,31.1367,Emerging,0.27,Hospitality,AI Security Audit,Advisory,Direct Visit,Organic Website Visit,SR003,Lorato,South Africa Enterprise,480000,2025-02-20,2025-02-24,,,Demo Requested,1,1,0,0,62,0.1692,0.0,4966.82,6458.68,-6458.68,,BWP,1,12,Medium,12,7,496.5,1,92,76,Sales Ready,10,10,10,0,0,0,0,0,0,1,437.1,2025-01-03 05:16:39,2025-06-10 17:33:11,/
CL10040,SESS70040,100.143.111.74,Micro,United Kingdom,International,London,51.5072,-0.1276,High,0.71,Healthcare,Fraud Monitoring Solution,Platform,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR007,Neo,International Expansion,520000,2025-05-11,2025-05-15,,,Demo Requested,1,1,0,0,68,0.4008,0.0,18728.82,10280.16,-10280.16,,BWP,1,7,High,7,6,547.3,0,54,62,Nurture,9,9,9,0,0,0,0,0,0,1,451.6,2025-01-22 01:02:24,2025-06-28 18:28:41,/
CL10041,SESS70041,196.69.135.91,Medium,Rwanda,Wider Africa,Kigali,-1.9441,30.0619,Medium,0.41,Logistics,Cloud Security Analytics,Analytics,Email Nurture,SME Security Education Series,SR005,Amogelang,Regional Growth,410000,2025-04-02,2025-04-03,2025-04-08,,Proposal Sent,1,1,1,0,77,0.2962,0.0,12671.94,9411.6,-9411.6,,BWP,1,8,High,8,8,441.1,0,76,77,Sales Ready,5,5,5,0,2,0,0,0,2,0,456.2,2025-04-05 20:50:11,2025-06-20 16:07:32,/ai-assistant
CL10042,SESS70042,89.126.75.146,Small,Namibia,SADC,Windhoek,-22.5609,17.0658,Medium,0.35,Retail,Threat Detection Platform,Platform,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR002,Kagiso,Botswana Core,390000,2025-06-06,2025-06-09,2025-06-14,2025-06-28,Contract Confirmed,1,1,1,1,86,0.3312,40831.98,20540.55,13644.77,27187.21,22.0,BWP,1,9,Hot,9,8,508.7,1,76,82,Urgent Follow-up,11,11,11,2,3,0,1,0,6,0,509.5,2025-01-01 14:27:24,2025-06-22 00:45:15,/
CL10043,SESS70043,119.220.43.82,Small,Namibia,SADC,Walvis Bay,-22.9576,14.5053,Medium,0.35,Financial Services,Threat Detection Platform,Platform,Google Search,Search Ads - Cybersecurity Help,SR004,Thato,South Africa Enterprise,460000,2025-05-16,2025-05-22,2025-05-28,2025-06-20,Contract Confirmed,1,1,1,1,72,0.2429,125595.61,19825.85,17953.65,107641.96,35.0,BWP,1,11,High,11,8,497.9,0,82,76,Sales Ready,5,5,5,0,1,0,0,0,1,1,981.6,2025-01-24 10:21:52,2025-06-06 23:11:27,/case-studies
CL10044,SESS70044,172.174.77.70,Small,Ethiopia,Wider Africa,Addis Ababa,8.9806,38.7578,Emerging,0.32,Healthcare,AI Security Audit,Advisory,Email Nurture,SME Security Education Series,SR005,Amogelang,Regional Growth,410000,2025-03-09,2025-03-16,2025-03-22,2025-04-13,Contract Confirmed,1,1,1,1,90,0.2473,18060.95,9018.72,8022.3,10038.65,35.0,BWP,1,8,Hot,8,7,403.4,0,66,79,Sales Ready,3,3,3,0,0,0,0,0,0,0,555.3,2025-01-09 10:50:27,2025-02-27 03:58:12,/
CL10045,SESS70045,104.74.86.220,Enterprise,Nigeria,Wider Africa,Lagos,6.5244,3.3792,High,0.62,Retail,AI Security Audit,Advisory,LinkedIn Campaign,B2B Security Decision-Makers,SR006,Boitumelo,Regional Growth,400000,2025-06-06,2025-06-11,,,Demo Requested,1,1,0,0,58,0.2193,0.0,13724.24,13767.88,-13767.88,,BWP,1,6,Medium,6,6,450.2,1,50,54,Nurture,9,9,9,1,0,0,0,0,1,1,508.8,2025-01-21 23:36:27,2025-06-13 06:04:10,/
CL10046,SESS70046,116.216.202.89,Medium,Kenya,Wider Africa,Mombasa,-4.0435,39.6682,High,0.58,Education,Cloud Security Analytics,Analytics,Email Nurture,SME Security Education Series,SR005,Amogelang,Regional Growth,410000,2025-06-02,,,,Inquiry,1,0,0,0,33,0.053,0.0,2096.46,8695.5,-8695.5,,BWP,1,5,Low,5,5,401.6,0,40,36,Low Priority,10,10,10,0,2,0,0,0,2,2,567.9,2025-01-02 04:26:55,2025-05-12 15:51:12,/
CL10047,SESS70047,162.165.14.205,Large,Namibia,SADC,Windhoek,-22.5609,17.0658,Medium,0.35,Telecommunications,Threat Detection Platform,Platform,LinkedIn Campaign,B2B Security Decision-Makers,SR003,Lorato,South Africa Enterprise,480000,2025-03-24,,,,Inquiry,1,0,0,0,81,0.2925,0.0,35724.54,26869.71,-26869.71,,BWP,1,4,Hot,4,4,486.8,0,28,57,Nurture,8,8,8,0,0,1,0,0,1,1,846.8,2025-01-21 22:44:14,2025-06-13 05:55:05,/
CL10048,SESS70048,104.108.188.249,Large,Namibia,SADC,Windhoek,-22.5609,17.0658,Medium,0.35,Legal Services,Fraud Monitoring Solution,Platform,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR004,Thato,South Africa Enterprise,460000,2025-03-05,,,,Inquiry,1,0,0,0,58,0.2465,0.0,18397.74,16422.91,-16422.91,,BWP,1,6,Medium,6,5,497.3,0,52,55,Nurture,10,10,10,0,0,0,0,0,0,1,558.1,2025-01-08 15:51:50,2025-06-08 18:28:22,/
CL10049,SESS70049,125.197.198.58,Micro,Namibia,SADC,Windhoek,-22.5609,17.0658,Medium,0.35,Telecommunications,Threat Detection Platform,Platform,Email Nurture,SME Security Education Series,SR001,Naledi,Botswana Core,420000,2025-05-14,2025-05-16,,,Demo Requested,1,1,0,0,73,0.232,0.0,13281.35,12595.18,-12595.18,,BWP,1,7,High,7,6,389.7,0,64,69,Sales Ready,14,14,14,4,0,1,0,0,5,1,486.7,2025-01-05 13:37:23,2025-06-01 22:07:02,/services
CL10050,SESS70050,180.117.116.21,Medium,Kenya,Wider Africa,Nairobi,-1.2921,36.8219,High,0.58,Education,Threat Detection Platform,Platform,Referral,Partner Referral Programme,SR005,Amogelang,Regional Growth,410000,2025-02-02,,,,Inquiry,1,0,0,0,68,0.2923,0.0,19258.54,14492.5,-14492.5,,BWP,1,5,High,5,5,391.2,1,38,55,Nurture,6,6,6,0,0,0,0,0,0,0,377.7,2025-01-28 12:21:22,2025-05-12 21:14:18,/
