client_id,session_id,c_ip,company_size,country,country_group,city,latitude,longitude,market_priority,market_saturation_index,industry,service_type,service_category,marketing_channel,campaign_name,sales_rep_id,sales_rep_name,sales_team,monthly_rep_target,inquiry_date,demo_date,proposal_date,close_date,current_stage,has_inquiry,has_demo,has_proposal,converted,lead_score,conversion_probability,actual_revenue,forecast_revenue,target_revenue,revenue_gap,sales_cycle_days,currency,web_visit_count,inquiry_submit_count,demo_request_count,ai_assistant_request_count,contract_confirmation_count,avg_response_time_ms,web_error_count,total_web_events,lead_quality,total_page_views,high_intent_hits,unique_pages_visited,avg_web_response_ms,web_error_hits,first_web_event,last_web_event,intent_score,commercial_readiness_score,priority_band
CL10011,SESS70011,159.97.212.23,Large,Ghana,Wider Africa,Accra,5.6037,-0.187,Medium,0.45,Logistics,Fraud Monitoring Solution,Platform,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR005,Amogelang,Regional Growth,410000,2025-03-21,2025-03-26,,,Demo Requested,1,1,0,0,52,0.1777,0.0,12557.08,15544.32,-15544.32,,BWP,3,1,1,0,0,443.8,1,5,Medium,5,3,5,443.8,1,2025-03-21T18:30:00,2025-03-22T02:20:00,38,46,Nurture
CL10012,SESS70012,181.181.216.141,Medium,Kenya,Wider Africa,Nairobi,-1.2921,36.8219,High,0.58,Hospitality,Fraud Monitoring Solution,Platform,Email Nurture,SME Security Education Series,SR005,Amogelang,Regional Growth,410000,2025-06-20,,,,Inquiry,1,0,0,0,50,0.1439,0.0,7079.52,10824.0,-10824.0,,BWP,3,1,0,1,0,478.8,0,5,Medium,5,3,5,478.8,0,2025-06-20T20:13:00,2025-06-21T03:58:00,40,46,Nurture
CL10013,SESS70013,130.200.23.136,Medium,Zambia,SADC,Ndola,-12.9587,28.6366,Medium,0.38,Retail,Cloud Security Analytics,Analytics,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR002,Kagiso,Botswana Core,390000,2025-05-07,,,,Inquiry,1,0,0,0,61,0.2899,0.0,13832.62,10495.98,-10495.98,,BWP,6,1,0,0,0,358.6,0,7,Medium,7,5,5,358.6,0,2025-05-07T22:35:00,2025-05-08T07:19:00,64,62,Nurture
CL10014,SESS70014,188.69.102.80,Small,Zambia,SADC,Ndola,-12.9587,28.6366,Medium,0.38,Retail,Executive Cyber Training,Training,Referral,Partner Referral Programme,SR004,Thato,South Africa Enterprise,460000,2025-06-04,,,,Inquiry,1,0,0,0,39,0.1332,0.0,2025.45,3345.17,-3345.17,,BWP,8,1,0,2,0,532.5,2,11,Low,11,7,6,532.5,2,2025-06-04T21:20:00,2025-06-05T17:05:00,88,61,Nurture
CL10015,SESS70015,177.191.94.64,Small,South Africa,SADC,Pretoria,-25.7479,28.2293,High,0.64,Logistics,Threat Detection Platform,Platform,Google Search,Search Ads - Cybersecurity Help,SR003,Lorato,South Africa Enterprise,480000,2025-04-03,2025-04-06,2025-04-14,,Proposal Sent,1,1,1,0,77,0.2915,0.0,17507.27,13213.89,-13213.89,,BWP,5,1,1,2,0,420.6,0,10,High,10,8,7,420.6,0,2025-04-03T23:28:00,2025-04-04T09:54:00,100,87,Urgent Follow-up
CL10016,SESS70016,150.194.143.147,Enterprise,Botswana,SADC,Francistown,-21.1702,27.5079,High,0.42,Logistics,SME Security Package,SME,Google Search,Search Ads - Cybersecurity Help,SR004,Thato,South Africa Enterprise,460000,2025-02-21,2025-02-25,,,Demo Requested,1,1,0,0,77,0.4036,0.0,15539.0,8470.44,-8470.44,,BWP,5,1,1,0,0,492.9,0,7,High,7,5,5,492.9,0,2025-02-21T15:28:00,2025-02-21T22:49:00,64,71,Sales Ready
CL10017,SESS70017,48.195.99.161,Small,Botswana,SADC,Gaborone,-24.6282,25.9231,High,0.42,Retail,Threat Detection Platform,Platform,Direct Visit,Organic Website Visit,SR002,Kagiso,Botswana Core,390000,2025-04-22,2025-04-24,,,Demo Requested,1,1,0,0,60,0.1793,0.0,11120.92,13644.77,-13644.77,,BWP,6,1,1,0,0,421.2,0,8,Medium,8,5,6,421.2,0,2025-04-22T15:53:00,2025-04-23T05:32:00,66,63,Nurture
CL10018,SESS70018,98.245.106.24,Medium,South Africa,SADC,Pretoria,-25.7479,28.2293,High,0.64,Mining,AI Security Audit,Advisory,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR001,Naledi,Botswana Core,420000,2025-01-16,2025-01-17,2025-01-24,,Proposal Sent,1,1,1,0,60,0.2774,0.0,14771.17,11713.68,-11713.68,,BWP,3,1,1,0,0,355.8,0,6,Medium,6,4,6,355.8,0,2025-01-16T16:20:00,2025-01-16T23:05:00,52,56,Nurture
CL10019,SESS70019,77.254.9.232,Medium,Zimbabwe,SADC,Harare,-17.8252,31.0335,Medium,0.46,Logistics,Cloud Security Analytics,Analytics,LinkedIn Campaign,B2B Security Decision-Makers,SR004,Thato,South Africa Enterprise,460000,2025-06-05,2025-06-12,,,Demo Requested,1,1,0,0,73,0.3485,0.0,16103.74,10164.53,-10164.53,,BWP,3,1,1,0,0,404.6,0,5,High,5,2,4,404.6,0,2025-06-05T21:05:00,2025-06-06T04:15:00,30,54,Nurture
CL10020,SESS70020,95.188.85.201,Medium,South Africa,SADC,Johannesburg,-26.2041,28.0473,High,0.64,Financial Services,Cloud Security Analytics,Analytics,Email Nurture,SME Security Education Series,SR004,Thato,South Africa Enterprise,460000,2025-05-05,2025-05-08,2025-05-18,2025-05-30,Contract Confirmed,1,1,1,1,66,0.2969,88943.49,18636.41,13810.5,75132.99,25.0,BWP,4,1,1,0,1,512.6,0,8,High,8,6,7,512.6,0,2025-05-05T20:50:00,2025-05-06T04:34:00,76,70,Sales Ready
CL10021,SESS70021,99.30.98.194,Medium,Botswana,SADC,Francistown,-21.1702,27.5079,High,0.42,Education,Fraud Monitoring Solution,Platform,LinkedIn Campaign,B2B Security Decision-Makers,SR002,Kagiso,Botswana Core,390000,2025-05-25,2025-05-26,,,Demo Requested,1,1,0,0,74,0.3728,0.0,20536.5,12117.6,-12117.6,,BWP,3,1,1,4,0,388.6,1,9,High,9,6,5,388.6,1,2025-05-25T21:18:00,2025-05-26T09:57:00,76,75,Sales Ready
CL10022,SESS70022,90.73.129.52,Small,Botswana,SADC,Gaborone,-24.6282,25.9231,High,0.42,Government,Executive Cyber Training,Training,LinkedIn Campaign,B2B Security Decision-Makers,SR003,Lorato,South Africa Enterprise,480000,2025-03-18,2025-03-22,2025-04-01,,Proposal Sent,1,1,1,0,86,0.5745,0.0,10850.79,4155.05,-4155.05,,BWP,5,1,1,2,0,344.0,0,10,Hot,10,8,7,344.0,0,2025-03-18T21:13:00,2025-03-19T07:16:00,100,92,Urgent Follow-up
CL10023,SESS70023,96.100.108.118,Small,Ghana,Wider Africa,Accra,5.6037,-0.187,Medium,0.45,Retail,Cloud Security Analytics,Analytics,Google Search,Search Ads - Cybersecurity Help,SR005,Amogelang,Regional Growth,410000,2025-06-26,2025-06-28,,,Demo Requested,1,1,0,0,75,0.3074,0.0,10593.08,7580.43,-7580.43,,BWP,4,1,1,0,0,495.5,0,6,High,6,3,5,495.5,0,2025-06-26T12:51:00,2025-06-26T18:53:00,42,60,Nurture
CL10024,SESS70024,71.106.122.176,Small,Germany,International,Berlin,52.52,13.405,High,0.69,Government,Fraud Monitoring Solution,Platform,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR007,Neo,International Expansion,520000,2025-06-15,2025-06-21,,,Demo Requested,1,1,0,0,61,0.3339,0.0,21760.12,14336.15,-14336.15,,BWP,4,1,1,1,0,420.1,0,7,Medium,7,4,6,420.1,0,2025-06-15T10:15:00,2025-06-15T18:33:00,54,58,Nurture
CL10025,SESS70025,127.227.107.226,Medium,United States,International,New York,40.7128,-74.006,High,0.76,Hospitality,Threat Detection Platform,Platform,Direct Visit,Organic Website Visit,SR008,Lesedi,International Expansion,500000,2025-05-29,,,,Inquiry,1,0,0,0,67,0.2376,0.0,17820.27,16497.58,-16497.58,,BWP,4,1,0,0,0,506.4,0,5,High,5,3,4,506.4,0,2025-05-29T13:36:00,2025-05-29T19:42:00,40,55,Nurture
CL10026,SESS70026,128.165.138.130,Small,Zambia,SADC,Lusaka,-15.3875,28.3228,Medium,0.38,Mining,SME Security Package,SME,Google Search,Search Ads - Cybersecurity Help,SR003,Lorato,South Africa Enterprise,480000,2025-02-14,2025-02-17,,,Demo Requested,1,1,0,0,52,0.183,0.0,4470.44,5374.51,-5374.51,,BWP,3,1,1,0,0,434.2,0,5,Medium,5,3,5,434.2,0,2025-02-14T16:41:00,2025-02-14T21:11:00,40,47,Nurture
CL10027,SESS70027,98.26.239.254,Small,South Africa,SADC,Johannesburg,-26.2041,28.0473,High,0.64,Retail,Executive Cyber Training,Training,Google Search,Search Ads - Cybersecurity Help,SR001,Naledi,Botswana Core,420000,2025-04-07,2025-04-11,,,Demo Requested,1,1,0,0,45,0.1733,0.0,2635.46,3345.17,-3345.17,,BWP,6,1,1,1,0,460.0,0,9,Low,9,6,7,460.0,0,2025-04-07T18:07:00,2025-04-08T06:48:00,78,60,Nurture
CL10028,SESS70028,162.170.3.131,Medium,Lesotho,SADC,Maseru,-29.3158,27.4869,Emerging,0.28,Education,SME Security Package,SME,Referral,Partner Referral Programme,SR001,Naledi,Botswana Core,420000,2025-01-11,2025-01-18,,,Demo Requested,1,1,0,0,65,0.3132,0.0,7187.79,5049.0,-5049.0,,BWP,4,1,1,2,0,455.6,0,8,Medium,8,5,6,455.6,0,2025-01-11T10:46:00,2025-01-11T22:54:00,66,65,Nurture
CL10029,SESS70029,109.105.122.217,Medium,Ghana,Wider Africa,Accra,5.6037,-0.187,Medium,0.45,Mining,AI Security Audit,Advisory,LinkedIn Campaign,B2B Security Decision-Makers,SR006,Boitumelo,Regional Growth,400000,2025-02-05,2025-02-11,,,Demo Requested,1,1,0,0,72,0.2803,0.0,13819.64,10846.0,-10846.0,,BWP,6,1,1,0,0,435.6,0,8,High,8,6,6,435.6,0,2025-02-05T13:59:00,2025-02-06T00:45:00,76,74,Sales Ready
CL10030,SESS70030,164.206.180.6,Medium,Namibia,SADC,Windhoek,-22.5609,17.0658,Medium,0.35,Legal Services,Cloud Security Analytics,Analytics,Industry Conference,Johannesburg FinTech Cyber Briefing,SR004,Thato,South Africa Enterprise,460000,2025-05-14,2025-05-17,,,Demo Requested,1,1,0,0,62,0.304,0.0,13741.51,9943.56,-9943.56,,BWP,2,1,1,2,0,492.0,0,6,Medium,6,4,5,492.0,0,2025-05-14T18:20:00,2025-05-15T00:21:00,52,58,Nurture
CL10031,SESS70031,158.238.40.83,Large,Ethiopia,Wider Africa,Addis Ababa,8.9806,38.7578,Emerging,0.32,Legal Services,Fraud Monitoring Solution,Platform,Industry Conference,Johannesburg FinTech Cyber Briefing,SR006,Boitumelo,Regional Growth,400000,2025-05-23,2025-05-30,2025-06-04,,Proposal Sent,1,1,1,0,81,0.3185,0.0,22016.02,15206.4,-15206.4,,BWP,3,1,1,0,0,473.8,0,6,Hot,6,3,5,473.8,0,2025-05-23T18:01:00,2025-05-24T02:35:00,42,63,Nurture
CL10032,SESS70032,57.75.79.7,Enterprise,Ghana,Wider Africa,Accra,5.6037,-0.187,Medium,0.45,Retail,Executive Cyber Training,Training,Industry Conference,Johannesburg FinTech Cyber Briefing,SR006,Boitumelo,Regional Growth,400000,2025-06-26,2025-07-02,2025-07-11,,Proposal Sent,1,1,1,0,79,0.4999,0.0,13987.08,6155.05,-6155.05,,BWP,4,1,1,0,0,434.4,0,7,High,7,4,6,434.4,0,2025-06-27T00:10:00,2025-06-27T11:47:00,54,68,Sales Ready
CL10033,SESS70033,150.68.249.197,Enterprise,South Africa,SADC,Johannesburg,-26.2041,28.0473,High,0.64,Telecommunications,SME Security Package,SME,Referral,Partner Referral Programme,SR003,Lorato,South Africa Enterprise,480000,2025-03-12,2025-03-19,2025-03-23,,Proposal Sent,1,1,1,0,79,0.5154,0.0,24588.89,10495.98,-10495.98,,BWP,6,1,1,1,0,461.0,0,10,High,10,6,7,461.0,0,2025-03-12T14:57:00,2025-03-13T03:14:00,80,79,Sales Ready
CL10034,SESS70034,83.10.63.90,Medium,United Kingdom,International,London,51.5072,-0.1276,High,0.71,Telecommunications,Executive Cyber Training,Training,Referral,Partner Referral Programme,SR008,Lesedi,International Expansion,500000,2025-03-21,2025-03-27,2025-03-31,2025-04-16,Contract Confirmed,1,1,1,1,67,0.5712,24217.25,14600.37,5622.94,18594.31,26.0,BWP,5,1,1,0,1,463.4,0,9,High,9,6,8,463.4,0,2025-03-21T22:30:00,2025-03-22T10:15:00,78,72,Sales Ready
CL10035,SESS70035,142.249.235.244,Micro,Namibia,SADC,Windhoek,-22.5609,17.0658,Medium,0.35,Logistics,Cloud Security Analytics,Analytics,Referral,Partner Referral Programme,SR003,Lorato,South Africa Enterprise,480000,2025-04-08,,,,Inquiry,1,0,0,0,94,0.475,0.0,13167.88,6098.72,-6098.72,,BWP,3,1,0,1,0,397.6,0,5,Hot,5,3,5,397.6,0,2025-04-08T16:21:00,2025-04-08T21:40:00,40,70,Sales Ready
CL10036,SESS70036,53.63.55.181,Large,Kenya,Wider Africa,Nairobi,-1.2921,36.8219,High,0.58,Retail,Executive Cyber Training,Training,Industry Conference,Johannesburg FinTech Cyber Briefing,SR005,Amogelang,Regional Growth,410000,2025-02-13,2025-02-20,2025-02-24,2025-03-17,Contract Confirmed,1,1,1,1,67,0.4647,28494.54,10737.42,5082.88,23411.66,32.0,BWP,4,1,1,0,1,411.0,0,8,High,8,5,7,411.0,0,2025-02-13T19:06:00,2025-02-14T08:57:00,66,67,Sales Ready
CL10037,SESS70037,78.60.225.122,Medium,South Africa,SADC,Johannesburg,-26.2041,28.0473,High,0.64,Healthcare,Threat Detection Platform,Platform,LinkedIn Campaign,B2B Security Decision-Makers,SR001,Naledi,Botswana Core,420000,2025-01-31,2025-02-06,,,Demo Requested,1,1,0,0,68,0.2728,0.0,25116.45,20255.4,-20255.4,,BWP,4,1,1,1,0,531.1,1,7,High,7,4,6,531.1,1,2025-02-01T00:26:00,2025-02-01T11:35:00,52,61,Nurture
CL10038,SESS70038,172.190.184.137,Small,Nigeria,Wider Africa,Lagos,6.5244,3.3792,High,0.62,Legal Services,Cloud Security Analytics,Analytics,Referral,Partner Referral Programme,SR006,Boitumelo,Regional Growth,400000,2025-04-09,,,,Inquiry,1,0,0,0,73,0.4184,0.0,13656.29,7181.46,-7181.46,,BWP,4,1,0,1,0,358.7,0,6,High,6,4,6,358.7,0,2025-04-09T13:22:00,2025-04-09T21:20:00,52,64,Nurture
CL10039,SESS70039,189.139.212.32,Small,Eswatini,SADC,Mbabane,-26.3054,31.1367,Emerging,0.27,Hospitality,AI Security Audit,Advisory,Direct Visit,Organic Website Visit,SR003,Lorato,South Africa Enterprise,480000,2025-02-20,2025-02-24,,,Demo Requested,1,1,0,0,62,0.1692,0.0,4966.82,6458.68,-6458.68,,BWP,8,1,1,2,0,496.5,1,12,Medium,12,7,7,496.5,1,2025-02-20T09:36:00,2025-02-21T04:35:00,92,76,Sales Ready
CL10040,SESS70040,100.143.111.74,Micro,United Kingdom,International,London,51.5072,-0.1276,High,0.71,Healthcare,Fraud Monitoring Solution,Platform,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR007,Neo,International Expansion,520000,2025-05-11,2025-05-15,,,Demo Requested,1,1,0,0,68,0.4008,0.0,18728.82,10280.16,-10280.16,,BWP,5,1,1,0,0,547.3,0,7,High,7,4,6,547.3,0,2025-05-11T08:28:00,2025-05-11T19:36:00,54,62,Nurture
CL10041,SESS70041,196.69.135.91,Medium,Rwanda,Wider Africa,Kigali,-1.9441,30.0619,Medium,0.41,Logistics,Cloud Security Analytics,Analytics,Email Nurture,SME Security Education Series,SR005,Amogelang,Regional Growth,410000,2025-04-02,2025-04-03,2025-04-08,,Proposal Sent,1,1,1,0,77,0.2962,0.0,12671.94,9411.6,-9411.6,,BWP,4,1,1,1,0,441.1,0,8,High,8,6,8,441.1,0,2025-04-02T22:34:00,2025-04-03T07:34:00,76,77,Sales Ready
CL10042,SESS70042,89.126.75.146,Small,Namibia,SADC,Windhoek,-22.5609,17.0658,Medium,0.35,Retail,Threat Detection Platform,Platform,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR002,Kagiso,Botswana Core,390000,2025-06-06,2025-06-09,2025-06-14,2025-06-28,Contract Confirmed,1,1,1,1,86,0.3312,40831.98,20540.55,13644.77,27187.21,22.0,BWP,4,1,1,1,1,508.7,1,9,Hot,9,6,8,508.7,1,2025-06-06T21:07:00,2025-06-07T11:12:00,76,82,Urgent Follow-up
CL10043,SESS70043,119.220.43.82,Small,Namibia,SADC,Walvis Bay,-22.9576,14.5053,Medium,0.35,Financial Services,Threat Detection Platform,Platform,Google Search,Search Ads - Cybersecurity Help,SR004,Thato,South Africa Enterprise,460000,2025-05-16,2025-05-22,2025-05-28,2025-06-20,Contract Confirmed,1,1,1,1,72,0.2429,125595.61,19825.85,17953.65,107641.96,35.0,BWP,6,1,1,1,1,497.9,0,11,High,11,6,8,497.9,0,2025-05-16T20:29:00,2025-05-17T08:28:00,82,76,Sales Ready
CL10044,SESS70044,172.174.77.70,Small,Ethiopia,Wider Africa,Addis Ababa,8.9806,38.7578,Emerging,0.32,Healthcare,AI Security Audit,Advisory,Email Nurture,SME Security Education Series,SR005,Amogelang,Regional Growth,410000,2025-03-09,2025-03-16,2025-03-22,2025-04-13,Contract Confirmed,1,1,1,1,90,0.2473,18060.95,9018.72,8022.3,10038.65,35.0,BWP,4,1,1,0,1,403.4,0,8,Hot,8,5,7,403.4,0,2025-03-09T12:31:00,2025-03-10T01:19:00,66,79,Sales Ready
CL10045,SESS70045,104.74.86.220,Enterprise,Nigeria,Wider Africa,Lagos,6.5244,3.3792,High,0.62,Retail,AI Security Audit,Advisory,LinkedIn Campaign,B2B Security Decision-Makers,SR006,Boitumelo,Regional Growth,400000,2025-06-06,2025-06-11,,,Demo Requested,1,1,0,0,58,0.2193,0.0,13724.24,13767.88,-13767.88,,BWP,4,1,1,0,0,450.2,1,6,Medium,6,4,6,450.2,1,2025-06-06T16:30:00,2025-06-06T23:20:00,50,54,Nurture
CL10046,SESS70046,116.216.202.89,Medium,Kenya,Wider Africa,Mombasa,-4.0435,39.6682,High,0.58,Education,Cloud Security Analytics,Analytics,Email Nurture,SME Security Education Series,SR005,Amogelang,Regional Growth,410000,2025-06-02,,,,Inquiry,1,0,0,0,33,0.053,0.0,2096.46,8695.5,-8695.5,,BWP,3,1,0,1,0,401.6,0,5,Low,5,3,5,401.6,0,2025-06-02T17:26:00,2025-06-03T01:41:00,40,36,Low Priority
CL10047,SESS70047,162.165.14.205,Large,Namibia,SADC,Windhoek,-22.5609,17.0658,Medium,0.35,Telecommunications,Threat Detection Platform,Platform,LinkedIn Campaign,B2B Security Decision-Makers,SR003,Lorato,South Africa Enterprise,480000,2025-03-24,,,,Inquiry,1,0,0,0,81,0.2925,0.0,35724.54,26869.71,-26869.71,,BWP,3,1,0,0,0,486.8,0,4,Hot,4,2,4,486.8,0,2025-03-24T14:21:00,2025-03-24T19:00:00,28,57,Nurture
CL10048,SESS70048,104.108.188.249,Large,Namibia,SADC,Windhoek,-22.5609,17.0658,Medium,0.35,Legal Services,Fraud Monitoring Solution,Platform,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR004,Thato,South Africa Enterprise,460000,2025-03-05,,,,Inquiry,1,0,0,0,58,0.2465,0.0,18397.74,16422.91,-16422.91,,BWP,3,1,0,2,0,497.3,0,6,Medium,6,4,5,497.3,0,2025-03-05T20:19:00,2025-03-06T02:11:00,52,55,Nurture
CL10049,SESS70049,125.197.198.58,Micro,Namibia,SADC,Windhoek,-22.5609,17.0658,Medium,0.35,Telecommunications,Threat Detection Platform,Platform,Email Nurture,SME Security Education Series,SR001,Naledi,Botswana Core,420000,2025-05-14,2025-05-16,,,Demo Requested,1,1,0,0,73,0.232,0.0,13281.35,12595.18,-12595.18,,BWP,3,1,1,2,0,389.7,0,7,High,7,5,6,389.7,0,2025-05-14T14:18:00,2025-05-14T21:11:00,64,69,Sales Ready
CL10050,SESS70050,180.117.116.21,Medium,Kenya,Wider Africa,Nairobi,-1.2921,36.8219,High,0.58,Education,Threat Detection Platform,Platform,Referral,Partner Referral Programme,SR005,Amogelang,Regional Growth,410000,2025-02-02,,,,Inquiry,1,0,0,0,68,0.2923,0.0,19258.54,14492.5,-14492.5,,BWP,4,1,0,0,0,391.2,1,5,High,5,3,5,391.2,1,2025-02-02T10:23:00,2025-02-02T13:35:00,38,55,Nurture
CL10051,SESS70051,184.213.79.15,Small,Botswana,SADC,Gaborone,-24.6282,25.9231,High,0.42,Education,Cloud Security Analytics,Analytics,Referral,Partner Referral Programme,SR001,Naledi,Botswana Core,420000,2025-02-15,2025-02-22,,,Demo Requested,1,1,0,0,60,0.3331,0.0,11089.71,7325.09,-7325.09,,BWP,4,1,1,1,0,432.9,0,7,Medium,7,5,6,432.9,0,2025-02-15T20:20:00,2025-02-16T00:09:00,64,62,Nurture
CL10052,SESS70052,162.54.152.146,Small,South Africa,SADC,Pretoria,-25.7479,28.2293,High,0.64,Legal Services,Cloud Security Analytics,Analytics,Direct Visit,Organic Website Visit,SR003,Lorato,South Africa Enterprise,480000,2025-01-02,,,,Inquiry,1,0,0,0,42,0.0984,0.0,3468.43,7755.98,-7755.98,,BWP,4,1,0,2,0,379.3,1,7,Low,7,4,5,379.3,1,2025-01-02T21:52:00,2025-01-03T07:58:00,52,46,Nurture
CL10053,SESS70053,58.12.243.57,Micro,South Africa,SADC,Cape Town,-33.9249,18.4241,High,0.64,Mining,Executive Cyber Training,Training,Direct Visit,Organic Website Visit,SR002,Kagiso,Botswana Core,390000,2025-05-30,,,,Inquiry,1,0,0,0,57,0.2727,0.0,3894.28,3142.02,-3142.02,,BWP,5,1,0,0,0,367.5,1,6,Medium,6,4,5,367.5,1,2025-05-30T11:15:00,2025-05-30T20:44:00,50,54,Nurture
